"schema_version","rhubarb_pull_time","observed_datetime_utc","vendor","vendor_model","vendor_run_id","vendor_forecast_date","vendor_updated_at_utc","model_status","election_date","metric_type","party","value","unit","median_value","low_value","high_value","basis","source_record_id","source_url","model_web_url","source_file","data_quality","notes","geography_type","geography_id","geography_name"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","ElectIndex","ElectIndex 2026 U.S. Election Forecast","electindex-2026-08-12-fdb46e3a846bd363","2026-08-12","","published","2026-11-03","US House Popular Vote Projection","D","53.644957","percent","","","","all-party projected national House vote counts","national","https://github.com/ElectIndex/26_us_forecast_data/tree/main/output","https://electindex.com/forecasts/","chambers.csv + national_indicators.csv","","ElectIndex publishes only Democratic chamber-control probability in chambers.csv; Republican control is stored as the binary complement. Published projected Democratic seats: House=231; Senate=50.","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","ElectIndex","ElectIndex 2026 U.S. Election Forecast","electindex-2026-08-12-fdb46e3a846bd363","2026-08-12","","published","2026-11-03","US House Popular Vote Projection","R","46.167444","percent","","","","all-party projected national House vote counts","national","https://github.com/ElectIndex/26_us_forecast_data/tree/main/output","https://electindex.com/forecasts/","chambers.csv + national_indicators.csv","","ElectIndex publishes only Democratic chamber-control probability in chambers.csv; Republican control is stored as the binary complement. Published projected Democratic seats: House=231; Senate=50.","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","ElectIndex","ElectIndex 2026 U.S. Election Forecast","electindex-2026-08-12-fdb46e3a846bd363","2026-08-12","","published","2026-11-03","US House Popular Vote Projection","Other","0.187599","percent","","","","all-party projected national House vote counts","national","https://github.com/ElectIndex/26_us_forecast_data/tree/main/output","https://electindex.com/forecasts/","chambers.csv + national_indicators.csv","","ElectIndex publishes only Democratic chamber-control probability in chambers.csv; Republican control is stored as the binary complement. Published projected Democratic seats: House=231; Senate=50.","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","ElectIndex","ElectIndex 2026 U.S. Election Forecast","electindex-2026-08-12-fdb46e3a846bd363","2026-08-12","","published","2026-11-03","US House Popular Vote Margin","D-R","7.49","percentage_points","","","","all-party projected national House vote counts","national","https://github.com/ElectIndex/26_us_forecast_data/tree/main/output","https://electindex.com/forecasts/","chambers.csv + national_indicators.csv","","ElectIndex publishes only Democratic chamber-control probability in chambers.csv; Republican control is stored as the binary complement. Published projected Democratic seats: House=231; Senate=50.","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Election StatSheet","Mac Tan 2026 Bayesian Congressional Forecast","ess-2026-08-12-a16615832621187c","2026-08-12","","published","2026-11-03","US House Seats by Party","D","225.0355","seats","","200","258","posterior mean expected seats","national","https://github.com/thisismactan/US-2026/tree/main/output","https://www.electionstatsheet.com/house","house_forecast_timeline.csv + senate_forecast_timeline.csv","","Control 'Other' is residual probability not assigned to a D or R majority/control outcome.","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Election StatSheet","Mac Tan 2026 Bayesian Congressional Forecast","ess-2026-08-12-a16615832621187c","2026-08-12","","published","2026-11-03","US House Seats by Party","R","209.9645","seats","","","","posterior mean expected seats","national","https://github.com/thisismactan/US-2026/tree/main/output","https://www.electionstatsheet.com/house","house_forecast_timeline.csv + senate_forecast_timeline.csv","","Control 'Other' is residual probability not assigned to a D or R majority/control outcome.","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Election StatSheet","Mac Tan 2026 Bayesian Congressional Forecast","ess-2026-08-12-a16615832621187c","2026-08-12","","published","2026-11-03","US House Seats by Party","Other","0","seats","","","","posterior mean expected seats","national","https://github.com/thisismactan/US-2026/tree/main/output","https://www.electionstatsheet.com/house","house_forecast_timeline.csv + senate_forecast_timeline.csv","","Control 'Other' is residual probability not assigned to a D or R majority/control outcome.","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Election StatSheet","Mac Tan 2026 Bayesian Congressional Forecast","ess-2026-08-12-a16615832621187c","2026-08-12","","published","2026-11-03","US House Party Probability","D","62.75","percent","","","","probability of controlling the U.S. House","national","https://github.com/thisismactan/US-2026/tree/main/output","https://www.electionstatsheet.com/house","house_forecast_timeline.csv + senate_forecast_timeline.csv","","Control 'Other' is residual probability not assigned to a D or R majority/control outcome.","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Election StatSheet","Mac Tan 2026 Bayesian Congressional Forecast","ess-2026-08-12-a16615832621187c","2026-08-12","","published","2026-11-03","US House Party Probability","R","37.25","percent","","","","probability of controlling the U.S. House","national","https://github.com/thisismactan/US-2026/tree/main/output","https://www.electionstatsheet.com/house","house_forecast_timeline.csv + senate_forecast_timeline.csv","","Control 'Other' is residual probability not assigned to a D or R majority/control outcome.","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Election StatSheet","Mac Tan 2026 Bayesian Congressional Forecast","ess-2026-08-12-a16615832621187c","2026-08-12","","published","2026-11-03","US House Party Probability","Other","0","percent","","","","probability of controlling the U.S. House","national","https://github.com/thisismactan/US-2026/tree/main/output","https://www.electionstatsheet.com/house","house_forecast_timeline.csv + senate_forecast_timeline.csv","","Control 'Other' is residual probability not assigned to a D or R majority/control outcome.","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Election StatSheet","Mac Tan 2026 Bayesian Congressional Forecast","ess-2026-08-12-a16615832621187c","2026-08-12","","published","2026-11-03","US Senate Seats by Party","D","48.7183","seats","","44","53","posterior mean seats; independents separate where modeled","national","https://github.com/thisismactan/US-2026/tree/main/output","https://www.electionstatsheet.com/senate","house_forecast_timeline.csv + senate_forecast_timeline.csv","","Control 'Other' is residual probability not assigned to a D or R majority/control outcome.","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Election StatSheet","Mac Tan 2026 Bayesian Congressional Forecast","ess-2026-08-12-a16615832621187c","2026-08-12","","published","2026-11-03","US Senate Seats by Party","R","51.182","seats","","","","posterior mean seats; independents separate where modeled","national","https://github.com/thisismactan/US-2026/tree/main/output","https://www.electionstatsheet.com/senate","house_forecast_timeline.csv + senate_forecast_timeline.csv","","Control 'Other' is residual probability not assigned to a D or R majority/control outcome.","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Election StatSheet","Mac Tan 2026 Bayesian Congressional Forecast","ess-2026-08-12-a16615832621187c","2026-08-12","","published","2026-11-03","US Senate Seats by Party","Other","0.0997","seats","","","","posterior mean seats; independents separate where modeled","national","https://github.com/thisismactan/US-2026/tree/main/output","https://www.electionstatsheet.com/senate","house_forecast_timeline.csv + senate_forecast_timeline.csv","","Control 'Other' is residual probability not assigned to a D or R majority/control outcome.","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Election StatSheet","Mac Tan 2026 Bayesian Congressional Forecast","ess-2026-08-12-a16615832621187c","2026-08-12","","published","2026-11-03","US Senate Party Probability","D","27.1","percent","","","","probability of controlling the U.S. Senate","national","https://github.com/thisismactan/US-2026/tree/main/output","https://www.electionstatsheet.com/senate","house_forecast_timeline.csv + senate_forecast_timeline.csv","","Control 'Other' is residual probability not assigned to a D or R majority/control outcome.","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Election StatSheet","Mac Tan 2026 Bayesian Congressional Forecast","ess-2026-08-12-a16615832621187c","2026-08-12","","published","2026-11-03","US Senate Party Probability","R","71.48","percent","","","","probability of controlling the U.S. Senate","national","https://github.com/thisismactan/US-2026/tree/main/output","https://www.electionstatsheet.com/senate","house_forecast_timeline.csv + senate_forecast_timeline.csv","","Control 'Other' is residual probability not assigned to a D or R majority/control outcome.","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Election StatSheet","Mac Tan 2026 Bayesian Congressional Forecast","ess-2026-08-12-a16615832621187c","2026-08-12","","published","2026-11-03","US Senate Party Probability","Other","1.42","percent","","","","probability of controlling the U.S. Senate","national","https://github.com/thisismactan/US-2026/tree/main/output","https://www.electionstatsheet.com/senate","house_forecast_timeline.csv + senate_forecast_timeline.csv","","Control 'Other' is residual probability not assigned to a D or R majority/control outcome.","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Election StatSheet","Mac Tan 2026 Bayesian Congressional Forecast","ess-2026-08-12-a16615832621187c","2026-08-12","","published","2026-11-03","US House Popular Vote Projection","D","53.843939","percent","","48.678384","59.037121","two-party House popular vote posterior mean","national","https://github.com/thisismactan/US-2026/tree/main/output","https://www.electionstatsheet.com/house","house_forecast_timeline.csv + senate_forecast_timeline.csv","","Control 'Other' is residual probability not assigned to a D or R majority/control outcome.","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Election StatSheet","Mac Tan 2026 Bayesian Congressional Forecast","ess-2026-08-12-a16615832621187c","2026-08-12","","published","2026-11-03","US House Popular Vote Projection","R","46.156061","percent","","","","two-party House popular vote posterior mean","national","https://github.com/thisismactan/US-2026/tree/main/output","https://www.electionstatsheet.com/house","house_forecast_timeline.csv + senate_forecast_timeline.csv","","Control 'Other' is residual probability not assigned to a D or R majority/control outcome.","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Election StatSheet","Mac Tan 2026 Bayesian Congressional Forecast","ess-2026-08-12-a16615832621187c","2026-08-12","","published","2026-11-03","US House Popular Vote Projection","Other","0","percent","","","","two-party House popular vote posterior mean","national","https://github.com/thisismactan/US-2026/tree/main/output","https://www.electionstatsheet.com/house","house_forecast_timeline.csv + senate_forecast_timeline.csv","","Control 'Other' is residual probability not assigned to a D or R majority/control outcome.","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Election StatSheet","Mac Tan 2026 Bayesian Congressional Forecast","ess-2026-08-12-a16615832621187c","2026-08-12","","published","2026-11-03","US House Popular Vote Margin","D-R","7.687878","percentage_points","","","","two-party House popular vote posterior mean","national","https://github.com/thisismactan/US-2026/tree/main/output","https://www.electionstatsheet.com/house","house_forecast_timeline.csv + senate_forecast_timeline.csv","","Control 'Other' is residual probability not assigned to a D or R majority/control outcome.","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Grant Williams","2026 Midterms Forecast v4.0.0","v4-20260812T154313Z-d6077e674d2b","2026-08-12","2026-08-12T15:43:13.605027+00:00","degraded","2026-11-03","US House Seats by Party","D","252.04","seats","247","207","316","posterior mean expected seats","national","https://grantbw4.github.io/2026-midterms-forecast/","https://grantbw4.github.io/2026-midterms-forecast/","forecast.json + senate_forecast.json","degraded","votehub_approval is degraded","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Grant Williams","2026 Midterms Forecast v4.0.0","v4-20260812T154313Z-d6077e674d2b","2026-08-12","2026-08-12T15:43:13.605027+00:00","degraded","2026-11-03","US House Seats by Party","R","182.96","seats","188","","","posterior mean expected seats","national","https://grantbw4.github.io/2026-midterms-forecast/","https://grantbw4.github.io/2026-midterms-forecast/","forecast.json + senate_forecast.json","degraded","votehub_approval is degraded","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Grant Williams","2026 Midterms Forecast v4.0.0","v4-20260812T154313Z-d6077e674d2b","2026-08-12","2026-08-12T15:43:13.605027+00:00","degraded","2026-11-03","US House Seats by Party","Other","0","seats","0","","","posterior mean expected seats","national","https://grantbw4.github.io/2026-midterms-forecast/","https://grantbw4.github.io/2026-midterms-forecast/","forecast.json + senate_forecast.json","degraded","votehub_approval is degraded","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Grant Williams","2026 Midterms Forecast v4.0.0","v4-20260812T154313Z-d6077e674d2b","2026-08-12","2026-08-12T15:43:13.605027+00:00","degraded","2026-11-03","US House Party Probability","D","87.41","percent","","","","probability of controlling the U.S. House","national","https://grantbw4.github.io/2026-midterms-forecast/","https://grantbw4.github.io/2026-midterms-forecast/","forecast.json + senate_forecast.json","degraded","votehub_approval is degraded","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Grant Williams","2026 Midterms Forecast v4.0.0","v4-20260812T154313Z-d6077e674d2b","2026-08-12","2026-08-12T15:43:13.605027+00:00","degraded","2026-11-03","US House Party Probability","R","12.59","percent","","","","probability of controlling the U.S. House","national","https://grantbw4.github.io/2026-midterms-forecast/","https://grantbw4.github.io/2026-midterms-forecast/","forecast.json + senate_forecast.json","degraded","votehub_approval is degraded","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Grant Williams","2026 Midterms Forecast v4.0.0","v4-20260812T154313Z-d6077e674d2b","2026-08-12","2026-08-12T15:43:13.605027+00:00","degraded","2026-11-03","US House Party Probability","Other","0","percent","","","","probability of controlling the U.S. House","national","https://grantbw4.github.io/2026-midterms-forecast/","https://grantbw4.github.io/2026-midterms-forecast/","forecast.json + senate_forecast.json","degraded","votehub_approval is degraded","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Grant Williams","2026 Midterms Forecast v4.0.0","v4-20260812T154313Z-d6077e674d2b","2026-08-12","2026-08-12T15:43:13.605027+00:00","degraded","2026-11-03","US Senate Seats by Party","D","51.55","seats","51","47","56","posterior mean caucus seats; aligned independents are included in the Democratic caucus","national","https://grantbw4.github.io/2026-midterms-forecast/","https://grantbw4.github.io/2026-midterms-forecast/","forecast.json + senate_forecast.json","degraded","votehub_approval is degraded","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Grant Williams","2026 Midterms Forecast v4.0.0","v4-20260812T154313Z-d6077e674d2b","2026-08-12","2026-08-12T15:43:13.605027+00:00","degraded","2026-11-03","US Senate Seats by Party","R","48.45","seats","49","","","posterior mean caucus seats; aligned independents are included in the Democratic caucus","national","https://grantbw4.github.io/2026-midterms-forecast/","https://grantbw4.github.io/2026-midterms-forecast/","forecast.json + senate_forecast.json","degraded","votehub_approval is degraded","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Grant Williams","2026 Midterms Forecast v4.0.0","v4-20260812T154313Z-d6077e674d2b","2026-08-12","2026-08-12T15:43:13.605027+00:00","degraded","2026-11-03","US Senate Seats by Party","Other","0","seats","0","","","posterior mean caucus seats; aligned independents are included in the Democratic caucus","national","https://grantbw4.github.io/2026-midterms-forecast/","https://grantbw4.github.io/2026-midterms-forecast/","forecast.json + senate_forecast.json","degraded","votehub_approval is degraded","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Grant Williams","2026 Midterms Forecast v4.0.0","v4-20260812T154313Z-d6077e674d2b","2026-08-12","2026-08-12T15:43:13.605027+00:00","degraded","2026-11-03","US Senate Party Probability","D","63.11","percent","","","","probability of controlling the U.S. Senate","national","https://grantbw4.github.io/2026-midterms-forecast/","https://grantbw4.github.io/2026-midterms-forecast/","forecast.json + senate_forecast.json","degraded","votehub_approval is degraded","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Grant Williams","2026 Midterms Forecast v4.0.0","v4-20260812T154313Z-d6077e674d2b","2026-08-12","2026-08-12T15:43:13.605027+00:00","degraded","2026-11-03","US Senate Party Probability","R","36.89","percent","","","","probability of controlling the U.S. Senate","national","https://grantbw4.github.io/2026-midterms-forecast/","https://grantbw4.github.io/2026-midterms-forecast/","forecast.json + senate_forecast.json","degraded","votehub_approval is degraded","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Grant Williams","2026 Midterms Forecast v4.0.0","v4-20260812T154313Z-d6077e674d2b","2026-08-12","2026-08-12T15:43:13.605027+00:00","degraded","2026-11-03","US Senate Party Probability","Other","0","percent","","","","probability of controlling the U.S. Senate","national","https://grantbw4.github.io/2026-midterms-forecast/","https://grantbw4.github.io/2026-midterms-forecast/","forecast.json + senate_forecast.json","degraded","votehub_approval is degraded","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Grant Williams","2026 Midterms Forecast v4.0.0","v4-20260812T154313Z-d6077e674d2b","2026-08-12","2026-08-12T15:43:13.605027+00:00","degraded","2026-11-03","US House Popular Vote Projection","D","52.9785","percent","","51.2225","54.723","Democratic two-party election-day House popular-vote margin","national","https://grantbw4.github.io/2026-midterms-forecast/","https://grantbw4.github.io/2026-midterms-forecast/","forecast.json + senate_forecast.json","degraded","votehub_approval is degraded","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Grant Williams","2026 Midterms Forecast v4.0.0","v4-20260812T154313Z-d6077e674d2b","2026-08-12","2026-08-12T15:43:13.605027+00:00","degraded","2026-11-03","US House Popular Vote Projection","R","47.0215","percent","","","","Democratic two-party election-day House popular-vote margin","national","https://grantbw4.github.io/2026-midterms-forecast/","https://grantbw4.github.io/2026-midterms-forecast/","forecast.json + senate_forecast.json","degraded","votehub_approval is degraded","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Grant Williams","2026 Midterms Forecast v4.0.0","v4-20260812T154313Z-d6077e674d2b","2026-08-12","2026-08-12T15:43:13.605027+00:00","degraded","2026-11-03","US House Popular Vote Projection","Other","0","percent","","","","Democratic two-party election-day House popular-vote margin","national","https://grantbw4.github.io/2026-midterms-forecast/","https://grantbw4.github.io/2026-midterms-forecast/","forecast.json + senate_forecast.json","degraded","votehub_approval is degraded","national","US","United States"
"2.1.0","2026-08-13T01:34:16+00:00","2026-08-13T01:34:16+00:00","Grant Williams","2026 Midterms Forecast v4.0.0","v4-20260812T154313Z-d6077e674d2b","2026-08-12","2026-08-12T15:43:13.605027+00:00","degraded","2026-11-03","US House Popular Vote Margin","D-R","5.957","percentage_points","","","","Democratic two-party election-day House popular-vote margin","national","https://grantbw4.github.io/2026-midterms-forecast/","https://grantbw4.github.io/2026-midterms-forecast/","forecast.json + senate_forecast.json","degraded","votehub_approval is degraded","national","US","United States"
"2.1.0","2026-08-13T20:51:31+00:00","2026-08-13T20:51:31+00:00","Election StatSheet","Mac Tan 2026 Bayesian Congressional Forecast","ess-2026-08-13-bdd159ab5a7e53d4","2026-08-13","","published","2026-11-03","US House Seats by Party","D","225.5874","seats","","201","258","posterior mean expected seats","national","https://github.com/thisismactan/US-2026/tree/main/output","https://www.electionstatsheet.com/house","house_forecast_timeline.csv + senate_forecast_timeline.csv","","Control 'Other' is residual probability not assigned to a D or R majority/control outcome.","national","US","United States"
"2.1.0","2026-08-13T20:51:31+00:00","2026-08-13T20:51:31+00:00","Election StatSheet","Mac Tan 2026 Bayesian Congressional Forecast","ess-2026-08-13-bdd159ab5a7e53d4","2026-08-13","","published","2026-11-03","US House Seats by Party","R","209.4126","seats","","","","posterior mean expected seats","national","https://github.com/thisismactan/US-2026/tree/main/output","https://www.electionstatsheet.com/house","house_forecast_timeline.csv + senate_forecast_timeline.csv","","Control 'Other' is residual probability not assigned to a D or R majority/control outcome.","national","US","United States"
"2.1.0","2026-08-13T20:51:31+00:00","2026-08-13T20:51:31+00:00","Election StatSheet","Mac Tan 2026 Bayesian Congressional Forecast","ess-2026-08-13-bdd159ab5a7e53d4","2026-08-13","","published","2026-11-03","US House Seats by Party","Other","0","seats","","","","posterior mean expected seats","national","https://github.com/thisismactan/US-2026/tree/main/output","https://www.electionstatsheet.com/house","house_forecast_timeline.csv + senate_forecast_timeline.csv","","Control 'Other' is residual probability not assigned to a D or R majority/control outcome.","national","US","United States"
"2.1.0","2026-08-13T20:51:31+00:00","2026-08-13T20:51:31+00:00","Election StatSheet","Mac Tan 2026 Bayesian Congressional Forecast","ess-2026-08-13-bdd159ab5a7e53d4","2026-08-13","","published","2026-11-03","US House Party Probability","D","64.87","percent","","","","probability of controlling the U.S. House","national","https://github.com/thisismactan/US-2026/tree/main/output","https://www.electionstatsheet.com/house","house_forecast_timeline.csv + senate_forecast_timeline.csv","","Control 'Other' is residual probability not assigned to a D or R majority/control outcome.","national","US","United States"
